order_id,product_id,quantity,unit_price,created_at
1,44,1,99.67,2025-04-08 08:51:00
2,43,1,102.1,2025-04-15 08:05:00
3,35,1,86.25,2025-04-16 14:08:00
4,41,1,101.82,2025-04-16 08:12:00
5,54,1,99.01,2025-04-17 08:04:00
6,51,1,67.78,2025-04-18 18:52:00
7,33,1,73.78,2025-04-20 08:24:00
8,51,1,70.12,2025-04-20 13:38:00
9,40,1,105.66,2025-04-23 12:43:00
10,37,1,68.58,2025-04-24 18:05:00
11,10,1,102.42,2025-04-25 16:50:00
12,37,1,122.65,2025-04-29 10:10:00
13,54,1,90.94,2025-04-29 09:55:00
14,55,1,115.89,2025-04-30 18:40:00
15,54,1,68.41,2025-05-02 14:32:00
16,10,1,106.77,2025-05-02 17:26:00
17,53,1,98.65,2025-05-03 10:28:00
18,34,1,118.1,2025-05-03 10:04:00
19,52,1,113.59,2025-05-06 15:28:00
20,10,1,113.97,2025-05-07 16:33:00
21,31,1,105.91,2025-05-08 20:33:00
22,42,1,88.29,2025-05-08 08:55:00
23,36,1,115.53,2025-05-12 10:42:00
24,52,1,86.38,2025-05-15 13:54:00
25,57,1,112.34,2025-05-18 18:12:00
26,54,1,108.95,2025-05-25 12:37:00
27,44,1,76.91,2025-05-26 17:05:00
28,35,1,71.8,2025-05-29 17:47:00
29,39,1,109.26,2025-06-01 17:21:00
30,40,1,78.5,2025-06-02 20:25:00
31,37,1,92.21,2025-06-06 09:06:00
32,56,1,112.34,2025-06-10 12:46:00
33,53,1,84.73,2025-06-22 10:05:00
34,42,1,108.53,2025-06-23 13:41:00
35,55,1,63.21,2025-07-09 09:51:00
36,32,1,102.45,2025-07-14 20:02:00
37,10,1,1305.14,2025-06-28 16:55:00
38,67,1,4152.67,2025-06-22 13:23:00
39,19,1,4935.28,2025-06-25 20:58:00
40,50,1,5300.37,2025-06-28 12:12:00
41,46,1,5331.83,2025-06-28 16:01:00
42,28,1,4357.28,2025-06-30 15:01:00
43,22,1,5222.72,2025-06-30 08:11:00
44,29,1,3940.82,2025-07-02 18:38:00
45,42,1,5021.42,2025-07-04 13:43:00
46,70,1,3449.02,2025-07-11 09:43:00
47,70,1,4847.32,2025-07-18 09:14:00
48,5,1,260.56,2025-06-24 11:33:00
49,8,1,223.94,2025-06-24 09:43:00
50,18,1,283.25,2025-06-25 14:50:00
51,8,1,327.62,2025-06-25 15:26:00
52,5,1,283.63,2025-06-25 12:57:00
53,8,1,336.76,2025-06-25 16:24:00
54,21,1,256.06,2025-06-25 14:58:00
55,20,1,247.12,2025-06-26 17:09:00
56,17,1,299.54,2025-06-26 14:57:00
57,4,1,349.27,2025-06-26 14:25:00
58,3,1,361.14,2025-06-26 09:45:00
59,9,1,353.99,2025-06-26 16:54:00
60,37,1,307.96,2025-06-26 10:52:00
61,9,1,348.31,2025-06-26 16:07:00
62,20,1,201.75,2025-06-27 20:29:00
63,21,1,220.83,2025-06-27 11:54:00
64,8,1,235.46,2025-06-27 13:47:00
65,37,1,239.02,2025-06-28 15:48:00
66,7,1,287.29,2025-06-28 14:34:00
67,14,1,301.81,2025-06-28 18:08:00
68,37,1,354.33,2025-06-28 12:31:00
69,4,1,293.61,2025-06-29 08:35:00
70,13,1,290.31,2025-06-30 13:10:00
71,1,1,264.55,2025-06-30 08:10:00
72,7,1,296.47,2025-06-30 17:24:00
73,20,1,311.32,2025-07-01 11:18:00
74,6,1,171.47,2025-07-01 19:52:00
75,67,1,1720.84,2025-06-14 20:11:00
76,64,1,1637.06,2025-06-14 08:23:00
77,66,1,2287.1,2025-06-15 09:32:00
78,65,1,1713.31,2025-06-15 13:55:00
79,66,1,2843.52,2025-06-15 16:52:00
80,62,1,2825.08,2025-06-15 15:05:00
81,61,1,2624.1,2025-06-16 09:03:00
82,50,1,2435.93,2025-06-17 20:12:00
83,64,1,2509.35,2025-06-17 09:25:00
84,64,1,1897.93,2025-06-17 15:24:00
85,42,1,2278.22,2025-06-18 19:17:00
86,43,1,1914.59,2025-06-18 17:25:00
87,23,1,2620.7,2025-06-18 19:23:00
88,64,1,1741.84,2025-06-19 08:49:00
89,62,1,2364.97,2025-06-19 13:03:00
90,49,1,2060.18,2025-06-19 10:48:00
91,65,1,2787.31,2025-06-19 09:51:00
92,50,1,1913.5,2025-06-20 10:11:00
93,69,1,2419.91,2025-06-20 16:57:00
94,28,1,2117.55,2025-06-20 11:31:00
95,41,1,2504.84,2025-06-22 13:23:00
96,44,1,2643.43,2025-06-22 20:31:00
97,29,1,1915.9,2025-06-23 20:38:00
98,61,1,2435.25,2025-06-23 09:20:00
99,24,1,2404.87,2025-06-23 19:00:00
100,28,1,2411.73,2025-06-23 20:18:00
101,70,1,2230.49,2025-06-23 14:11:00
102,61,1,1639.84,2025-06-23 20:31:00
103,62,1,2137.07,2025-06-23 17:03:00
104,67,1,1784.65,2025-06-23 14:52:00
105,22,1,2352.17,2025-06-24 16:22:00
106,48,1,2981.07,2025-06-24 10:43:00
107,23,1,1985.8,2025-06-24 18:29:00
108,50,1,2379.1,2025-06-25 11:41:00
109,63,1,2956.85,2025-06-26 16:50:00
110,19,1,2098.1,2025-06-26 09:01:00
111,47,1,2000.95,2025-06-26 17:14:00
112,68,1,1981.23,2025-06-26 14:09:00
113,22,1,2749.59,2025-06-27 14:11:00
114,24,1,1985.86,2025-06-27 09:25:00
115,29,1,2693.24,2025-06-27 16:13:00
116,63,1,2464.69,2025-07-02 13:17:00
117,44,1,2201.83,2025-07-05 18:18:00
118,24,1,1856.99,2025-07-08 17:34:00
119,29,1,2282.23,2025-07-12 08:00:00
120,21,1,3302.6,2025-02-19 14:20:00
121,3,1,4708.18,2025-02-24 19:01:00
122,19,1,5531.46,2025-03-05 17:26:00
123,17,1,4220.75,2025-03-26 17:05:00
124,1,1,4031.81,2025-03-27 18:23:00
125,20,1,5836.6,2025-04-08 14:27:00
126,21,1,5012.28,2025-05-04 16:21:00
127,4,1,4677.15,2025-05-31 18:01:00
128,9,1,5997.19,2025-07-28 12:53:00
129,42,1,3798.51,2025-07-28 20:17:00
130,18,1,6324.71,2025-07-28 08:19:00
131,48,1,6185.71,2025-07-28 12:44:00
132,14,1,3460.79,2025-07-29 13:03:00
133,15,1,4759.41,2025-07-29 16:59:00
134,24,1,6476.48,2025-07-30 12:35:00
135,42,1,3985.11,2025-07-31 17:37:00
136,11,1,4973.5,2025-08-01 14:15:00
137,24,1,1921.12,2025-02-02 13:20:00
138,25,1,2109.52,2025-02-02 12:07:00
139,19,1,1749.83,2025-02-02 12:42:00
140,4,1,1738.75,2025-02-03 08:58:00
141,69,1,2051.65,2025-02-04 14:11:00
142,24,1,1466.3,2025-02-04 13:17:00
143,41,1,2061.46,2025-02-04 12:45:00
144,50,1,1338.3,2025-02-07 20:57:00
145,63,1,2095.18,2025-02-07 14:54:00
146,24,1,1275.04,2025-02-10 19:05:00
147,19,1,1642.13,2025-02-14 09:03:00
148,21,1,1490.28,2025-02-16 17:17:00
149,45,1,530.56,2025-03-04 13:09:00
150,41,1,594.42,2025-03-07 09:59:00
151,53,1,700.1,2025-03-08 08:47:00
152,33,1,417.81,2025-03-19 13:55:00
153,42,1,160.85,2025-04-16 14:51:00
154,8,1,113.37,2025-04-16 11:37:00
155,19,1,101.01,2025-04-18 08:38:00
156,8,1,109.37,2025-04-19 17:43:00
157,21,1,119.13,2025-04-19 16:32:00
158,7,1,114.45,2025-04-20 19:26:00
159,44,1,168.25,2025-04-20 19:49:00
160,9,1,139.5,2025-04-21 15:58:00
161,17,1,132.4,2025-04-22 09:02:00
162,5,1,107.23,2025-04-22 13:57:00
163,21,1,149.52,2025-04-25 17:05:00
164,22,1,116.82,2025-04-26 20:34:00
165,25,1,97.64,2025-04-29 13:59:00
166,37,1,135.63,2025-04-29 16:15:00
167,41,1,153.03,2025-05-01 17:57:00
168,34,1,94.25,2025-05-02 17:08:00
169,11,1,154.56,2025-05-04 14:24:00
170,16,1,128.29,2025-05-04 11:54:00
171,41,1,155.55,2025-05-07 08:08:00
172,36,1,137.84,2025-05-08 10:25:00
173,49,1,104.71,2025-05-08 10:01:00
174,17,1,157.43,2025-05-09 09:36:00
175,22,1,146.27,2025-05-13 11:44:00
176,17,1,123.56,2025-05-14 11:40:00
177,13,1,152.78,2025-05-15 18:15:00
178,49,1,129.44,2025-05-15 11:17:00
179,34,1,104.63,2025-05-16 10:54:00
180,9,1,107.49,2025-05-24 08:54:00
181,1,1,98.39,2025-05-25 17:56:00
182,50,1,159.74,2025-05-27 08:11:00
183,48,1,95.4,2025-06-03 14:54:00
184,70,1,423.4,2025-03-22 12:42:00
185,69,1,407.95,2025-04-07 20:48:00
186,10,1,447.49,2025-03-11 17:50:00
187,2,1,649.43,2025-03-14 14:06:00
188,21,1,411.11,2025-03-20 12:36:00
189,6,1,550.66,2025-03-24 20:55:00
190,2,1,563.31,2025-03-28 08:35:00
191,3,1,390.64,2025-04-03 17:03:00
192,4,1,1466.2,2025-01-30 11:51:00
193,21,1,1501.32,2025-02-03 10:45:00
194,48,1,1786.74,2025-02-08 10:18:00
195,45,1,1180.6,2025-02-11 09:43:00
196,4,1,1837.48,2025-02-12 20:32:00
197,69,1,1936.98,2025-02-12 13:22:00
198,41,1,1325.97,2025-02-18 17:58:00
199,47,1,1674.7,2025-02-18 11:42:00
200,23,1,1900.92,2025-02-25 20:11:00
201,47,1,1469.55,2025-02-28 15:58:00
202,65,1,1986.19,2025-03-03 14:12:00
203,61,1,1500.51,2025-03-08 19:39:00
204,29,1,1464.03,2025-03-09 13:28:00
205,43,1,1460.45,2025-03-10 19:11:00
206,42,1,1364.01,2025-03-11 14:10:00
207,17,1,1594.14,2025-03-14 17:48:00
208,62,1,1672.3,2025-03-15 09:15:00
209,24,1,1895.98,2025-03-18 19:46:00
210,4,1,1317.33,2025-03-23 19:18:00
211,5,1,1680.1,2025-04-09 18:05:00
212,2,1,2032.68,2025-01-17 19:47:00
213,21,1,2346.05,2025-01-19 11:26:00
214,3,1,1429.32,2025-01-21 13:16:00
215,66,1,1502.81,2025-01-24 15:31:00
216,29,1,2410.81,2025-01-26 10:29:00
217,48,1,2445.63,2025-01-29 10:25:00
218,42,1,1425.81,2025-01-31 17:00:00
219,19,1,2295.89,2025-01-31 20:48:00
220,64,1,1435.24,2025-02-01 13:39:00
221,29,1,1663.14,2025-02-02 12:45:00
222,23,1,1670.39,2025-02-04 15:46:00
223,27,1,2624.75,2025-02-22 11:44:00
224,42,1,3344.64,2025-02-13 16:11:00
225,50,1,825.72,2025-02-24 16:48:00
226,22,1,1339.62,2025-02-28 11:27:00
227,1,1,8014.04,2025-02-27 18:25:00
228,5,1,5510.55,2025-03-21 11:11:00
229,19,1,6749.9,2025-03-26 14:30:00
230,19,1,5181.4,2025-04-05 12:27:00
231,17,1,9234.52,2025-04-09 19:42:00
232,2,1,5952.15,2025-04-18 11:40:00
233,35,1,266.16,2025-07-09 17:18:00
234,55,1,171.95,2025-07-10 11:03:00
235,54,1,252.57,2025-07-10 09:01:00
236,52,1,195.2,2025-07-10 12:12:00
237,51,1,185.93,2025-07-11 13:54:00
238,52,1,188.08,2025-07-14 09:37:00
239,35,1,268.83,2025-07-15 14:47:00
240,55,1,222.75,2025-07-16 13:19:00
241,34,1,195.65,2025-07-16 18:16:00
242,51,1,247.86,2025-07-17 09:10:00
243,55,1,143.28,2025-07-21 20:24:00
244,18,1,1264.58,2025-02-09 20:57:00
245,14,1,1787.22,2025-02-10 18:25:00
246,18,1,1291.88,2025-02-11 09:00:00
247,10,1,1392.93,2025-02-11 20:24:00
248,8,1,2005.02,2025-02-12 09:43:00
249,14,1,1404.35,2025-02-12 10:33:00
250,6,1,1898.89,2025-02-14 12:52:00
251,3,1,2112.38,2025-02-15 12:54:00
252,9,1,1977.38,2025-02-15 15:01:00
253,14,1,2118.18,2025-02-15 17:26:00
254,8,1,2262.78,2025-02-15 09:33:00
255,19,1,1342.84,2025-02-16 13:36:00
256,8,1,1379.35,2025-02-18 09:41:00
257,19,1,2423.18,2025-02-20 20:06:00
258,9,1,1744.28,2025-02-21 13:28:00
259,4,1,1426.0,2025-02-23 14:06:00
260,1,1,2449.51,2025-02-23 20:51:00
261,4,1,2201.4,2025-02-23 13:44:00
262,14,1,1786.92,2025-02-24 12:12:00
263,13,1,1468.06,2025-02-25 09:24:00
264,21,1,1387.79,2025-02-28 13:26:00
265,17,1,1891.6,2025-03-01 19:27:00
266,19,1,1734.11,2025-03-03 16:42:00
267,9,1,2415.05,2025-03-05 18:34:00
268,4,1,1293.4,2025-04-23 11:23:00
269,47,1,699.54,2025-04-27 13:08:00
270,12,1,1039.26,2025-05-08 13:09:00
271,18,1,1352.43,2025-07-18 18:01:00
272,12,1,1191.87,2025-07-19 14:06:00
273,17,1,1396.42,2025-07-19 08:40:00
274,8,1,1545.46,2025-07-20 19:33:00
275,18,1,1179.11,2025-07-20 08:45:00
